date, verses, sealed, cobwebs
2024-05-20, 1006, 275, 731
2024-05-21, 1006, 275, 731
2024-05-22, 1011, 280, 731
2024-05-24, 1013, 282, 731
2024-06-02, 1013, 282, 731
2024-06-04, 1018, 287, 731
2024-06-05, 1022, 292, 730
2024-06-12, 1028, 298, 730
2024-06-14, 1030, 300, 730
2024-06-15, 1034, 304, 730
2024-06-24, 1035, 306, 729
2024-07-05, 1035, 306, 729
2024-07-29, 1057, 328, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-02, 1065, 336, 729
2024-08-29, 1074, 345, 729
2024-08-30, 1086, 357, 729
2024-09-09, 1097, 369, 728
2024-10-08, 1105, 377, 728
2024-11-08, 1107, 379, 728
2024-11-25, 1107, 379, 728
2024-11-25, 1107, 379, 728
2024-12-12, 1107, 379, 728
2024-12-12, 1107, 379, 728
